admin_2,age_group,scenario_name,metric,value,intervention
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC,IMPACT_nUncompCum,5662.74249210355,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC,IMPACT_nUncompCum,10516.5217710495,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC,IMPACT_nUncompCum,13213.0658149083,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC_Vaccine,IMPACT_nUncompCum,4718.95207675297,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC_Vaccine,IMPACT_nUncompCum,2831.37124605177,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC_Vaccine,IMPACT_nUncompCum,2831.37124605177,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC_Vaccine,IMPACT_nUncompCum,5258.26088552473,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_SMC_Vaccine,IMPACT_nUncompCum,6606.53290745414,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_Vaccine,IMPACT_nUncompCum,15729.8402558432,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_Vaccine,IMPACT_nUncompCum,9437.90415350593,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_Vaccine,IMPACT_nUncompCum,9437.90415350593,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_Vaccine,IMPACT_nUncompCum,17527.5362850824,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM,IMPACT_nUncompCum,5033.54888186983,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM,IMPACT_nUncompCum,45301.9399368285,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM,IMPACT_nUncompCum,84132.1741683958,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC,IMPACT_nUncompCum,2013.41955274794,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC,IMPACT_nUncompCum,18120.7759747314,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC,IMPACT_nUncompCum,33652.8696673583,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC,IMPACT_nUncompCum,27181.163962097,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC_Vaccine,IMPACT_nUncompCum,1006.70977637396,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC_Vaccine,IMPACT_nUncompCum,9060.38798736567,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC_Vaccine,IMPACT_nUncompCum,9060.38798736567,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC_Vaccine,IMPACT_nUncompCum,16826.4348336791,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_PMC_Vaccine,IMPACT_nUncompCum,13590.5819810485,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC,IMPACT_nUncompCum,1510.06466456094,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC,IMPACT_nUncompCum,13590.5819810485,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC,IMPACT_nUncompCum,25239.6522505187,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC,IMPACT_nUncompCum,31711.3579557799,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC_Vaccine,IMPACT_nUncompCum,755.032332280491,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC_Vaccine,IMPACT_nUncompCum,6795.29099052427,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC_Vaccine,IMPACT_nUncompCum,6795.29099052427,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC_Vaccine,IMPACT_nUncompCum,12619.8261252594,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_SMC_Vaccine,IMPACT_nUncompCum,15855.67897789,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_Vaccine,IMPACT_nUncompCum,2516.7744409349,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_Vaccine,IMPACT_nUncompCum,22650.9699684142,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_Vaccine,IMPACT_nUncompCum,22650.9699684142,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_LSM_Vaccine,IMPACT_nUncompCum,42066.0870841977,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC,IMPACT_nUncompCum,20134.1955274793,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC,IMPACT_nUncompCum,37392.077408176,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC,IMPACT_nUncompCum,30201.2932912189,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC_Vaccine,IMPACT_nUncompCum,10067.0977637397,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC_Vaccine,IMPACT_nUncompCum,10067.0977637397,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC_Vaccine,IMPACT_nUncompCum,18696.0387040879,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_PMC_Vaccine,IMPACT_nUncompCum,15100.6466456095,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC,IMPACT_nUncompCum,15100.6466456095,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC,IMPACT_nUncompCum,28044.0580561319,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC,IMPACT_nUncompCum,35234.8421730888,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC_Vaccine,IMPACT_nUncompCum,7550.32332280472,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC_Vaccine,IMPACT_nUncompCum,7550.32332280472,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC_Vaccine,IMPACT_nUncompCum,14022.0290280659,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_SMC_Vaccine,IMPACT_nUncompCum,17617.4210865444,SMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_Vaccine,IMPACT_nUncompCum,25167.7444093491,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_Vaccine,IMPACT_nUncompCum,25167.7444093491,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_Vaccine,IMPACT_nUncompCum,46740.0967602198,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS,IMPACT_nUncompCum,62919.3610233728,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS,IMPACT_nUncompCum,70110.1451403297,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM,IMPACT_nUncompCum,3775.16166140237,LSM
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM,IMPACT_nUncompCum,56627.4249210356,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM,IMPACT_nUncompCum,63099.1306262968,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC,IMPACT_nUncompCum,1510.06466456094,LSM
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC,IMPACT_nUncompCum,22650.9699684142,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC,IMPACT_nUncompCum,25239.6522505187,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC,IMPACT_nUncompCum,20385.8729715728,PMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,755.032332280491,LSM
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,11325.4849842071,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,6795.29099052427,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,12619.8261252594,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,10192.9364857864,PMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC,IMPACT_nUncompCum,1132.5484984207,LSM
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC,IMPACT_nUncompCum,16988.2274763107,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC,IMPACT_nUncompCum,18929.739187889,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC,IMPACT_nUncompCum,23783.5184668349,SMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,566.274249210352,LSM
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,8494.11373815533,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,5096.4682428932,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,9464.86959394451,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_SMC_Vaccine,IMPACT_nUncompCum,11891.7592334175,SMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_Vaccine,IMPACT_nUncompCum,1887.58083070119,LSM
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_Vaccine,IMPACT_nUncompCum,28313.7124605177,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_Vaccine,IMPACT_nUncompCum,16988.2274763107,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IRS_LSM_Vaccine,IMPACT_nUncompCum,31549.5653131483,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC,IMPACT_nUncompCum,25167.7444093491,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC,IMPACT_nUncompCum,28044.0580561319,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC,IMPACT_nUncompCum,22650.9699684142,PMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC_Vaccine,IMPACT_nUncompCum,12583.8722046746,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC_Vaccine,IMPACT_nUncompCum,7550.32332280472,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC_Vaccine,IMPACT_nUncompCum,14022.0290280659,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_PMC_Vaccine,IMPACT_nUncompCum,11325.4849842071,PMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC,IMPACT_nUncompCum,18875.8083070119,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC,IMPACT_nUncompCum,21033.0435420989,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC,IMPACT_nUncompCum,26426.1316298166,SMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC_Vaccine,IMPACT_nUncompCum,9437.90415350592,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC_Vaccine,IMPACT_nUncompCum,5662.74249210355,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC_Vaccine,IMPACT_nUncompCum,10516.5217710495,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IRS_SMC_Vaccine,IMPACT_nUncompCum,13213.0658149083,SMC
Bunda District Council,0-100,CM_IG2_Nets_IRS_Vaccine,IMPACT_nUncompCum,31459.6805116864,IRS
Bunda District Council,0-100,CM_IG2_Nets_IRS_Vaccine,IMPACT_nUncompCum,18875.8083070118,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IRS_Vaccine,IMPACT_nUncompCum,35055.072570165,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_LSM,IMPACT_nUncompCum,10067.0977637396,LSM
Bunda District Council,0-100,CM_IG2_Nets_LSM,IMPACT_nUncompCum,168264.348336791,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC,IMPACT_nUncompCum,4026.83910549587,LSM
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC,IMPACT_nUncompCum,67305.7393347165,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC,IMPACT_nUncompCum,54362.3279241942,PMC
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC_Vaccine,IMPACT_nUncompCum,2013.41955274794,LSM
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC_Vaccine,IMPACT_nUncompCum,18120.7759747314,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC_Vaccine,IMPACT_nUncompCum,33652.8696673583,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_LSM_PMC_Vaccine,IMPACT_nUncompCum,27181.163962097,PMC
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC,IMPACT_nUncompCum,3020.1293291219,LSM
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC,IMPACT_nUncompCum,50479.3045010374,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC,IMPACT_nUncompCum,63422.7159115599,SMC
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC_Vaccine,IMPACT_nUncompCum,1510.06466456094,LSM
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC_Vaccine,IMPACT_nUncompCum,13590.5819810485,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC_Vaccine,IMPACT_nUncompCum,25239.6522505187,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_LSM_SMC_Vaccine,IMPACT_nUncompCum,31711.3579557799,SMC
Bunda District Council,0-100,CM_IG2_Nets_LSM_Vaccine,IMPACT_nUncompCum,5033.54888186983,LSM
Bunda District Council,0-100,CM_IG2_Nets_LSM_Vaccine,IMPACT_nUncompCum,45301.9399368285,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_LSM_Vaccine,IMPACT_nUncompCum,84132.1741683958,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_PMC,IMPACT_nUncompCum,74784.1548163516,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_PMC,IMPACT_nUncompCum,60402.5865824379,PMC
Bunda District Council,0-100,CM_IG2_Nets_PMC_Vaccine,IMPACT_nUncompCum,20134.1955274793,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_PMC_Vaccine,IMPACT_nUncompCum,37392.077408176,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_PMC_Vaccine,IMPACT_nUncompCum,30201.2932912189,PMC
Bunda District Council,0-100,CM_IG2_Nets_SMC,IMPACT_nUncompCum,56088.1161122638,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_SMC,IMPACT_nUncompCum,70469.6843461776,SMC
Bunda District Council,0-100,CM_IG2_Nets_SMC_Vaccine,IMPACT_nUncompCum,15100.6466456095,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_SMC_Vaccine,IMPACT_nUncompCum,28044.0580561319,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_SMC_Vaccine,IMPACT_nUncompCum,35234.8421730888,SMC
Bunda District Council,0-100,CM_IG2_Nets_Vaccine,IMPACT_nUncompCum,50335.4888186983,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_Vaccine,IMPACT_nUncompCum,93480.1935204397,IG2_Nets
Bunda District Council,0-100,CM_IPTSc,IMPACT_nUncompCum,143815.682339138,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS,IMPACT_nUncompCum,89884.8014619611,IRS
Bunda District Council,0-100,CM_IPTSc_IRS,IMPACT_nUncompCum,53930.8808771766,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM,IMPACT_nUncompCum,5393.08808771779,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM,IMPACT_nUncompCum,80896.3213157652,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM,IMPACT_nUncompCum,48537.7927894591,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets,IMPACT_nUncompCum,2157.23523508706,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets,IMPACT_nUncompCum,32358.528526306,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets,IMPACT_nUncompCum,19415.1171157836,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets,IMPACT_nUncompCum,29122.6756736754,PBO_Nets
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC,IMPACT_nUncompCum,862.894094034829,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC,IMPACT_nUncompCum,12943.4114105224,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC,IMPACT_nUncompCum,7766.04684631345,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC,IMPACT_nUncompCum,11649.0702694702,PBO_Nets
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC,IMPACT_nUncompCum,11649.0702694702,PMC
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC_Vaccine,IMPACT_nUncompCum,431.447047017414,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC_Vaccine,IMPACT_nUncompCum,6471.7057052612,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC_Vaccine,IMPACT_nUncompCum,3883.02342315672,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC_Vaccine,IMPACT_nUncompCum,3883.02342315672,Vaccine
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC_Vaccine,IMPACT_nUncompCum,5824.53513473508,PBO_Nets
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_PMC_Vaccine,IMPACT_nUncompCum,5824.53513473508,PMC
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC,IMPACT_nUncompCum,647.17057052612,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC,IMPACT_nUncompCum,9707.55855789182,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC,IMPACT_nUncompCum,5824.5351347351,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC,IMPACT_nUncompCum,8736.80270210264,PBO_Nets
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC,IMPACT_nUncompCum,13590.5819810485,SMC
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC_Vaccine,IMPACT_nUncompCum,323.585285263061,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC_Vaccine,IMPACT_nUncompCum,4853.7792789459,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC_Vaccine,IMPACT_nUncompCum,2912.26756736753,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC_Vaccine,IMPACT_nUncompCum,2912.26756736753,Vaccine
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC_Vaccine,IMPACT_nUncompCum,4368.40135105131,PBO_Nets
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_SMC_Vaccine,IMPACT_nUncompCum,6795.29099052426,SMC
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_Vaccine,IMPACT_nUncompCum,1078.61761754354,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_Vaccine,IMPACT_nUncompCum,16179.264263153,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_Vaccine,IMPACT_nUncompCum,9707.55855789181,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_Vaccine,IMPACT_nUncompCum,9707.55855789181,Vaccine
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PBO_Nets_Vaccine,IMPACT_nUncompCum,14561.3378368377,PBO_Nets
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,2157.23523508706,LSM
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,32358.528526306,IRS
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,19415.1171157836,IPTSc
Bunda District Council,0-100,CM_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,29122.6756736754,PMC
